,age,전문,스포츠,예술,여행,음식,가족,종합
age,1.0,-0.26485806236814763,-0.168746400100302,-0.17248459594267995,-0.16528272432038868,-0.14564174183286924,-0.17188563992030978,-0.0905612159536485
전문,-0.26485806236814763,1.0,0.7871962981439707,0.7872897467104506,0.7802035314147848,0.7741138299400949,0.7812911687074571,0.20027085300492473
스포츠,-0.168746400100302,0.7871962981439707,1.0,0.8843162418990937,0.8996894362448972,0.8733431048797877,0.8797845671768095,0.17331240848886847
예술,-0.17248459594267995,0.7872897467104506,0.8843162418990937,1.0,0.8954546034131573,0.8755743476487693,0.8812316535067146,0.16918657609188878
여행,-0.16528272432038868,0.7802035314147848,0.8996894362448972,0.8954546034131573,1.0,0.8852220446659842,0.8964707839351995,0.1649819786271162
음식,-0.14564174183286924,0.7741138299400949,0.8733431048797877,0.8755743476487693,0.8852220446659842,1.0,0.8853271904413301,0.16998625165250636
가족,-0.17188563992030978,0.7812911687074571,0.8797845671768095,0.8812316535067146,0.8964707839351995,0.8853271904413301,1.0,0.1698835476708242
종합,-0.0905612159536485,0.20027085300492473,0.17331240848886847,0.16918657609188878,0.1649819786271162,0.16998625165250636,0.1698835476708242,1.0
